Cloudlet;Status ;CloudletLen;StartTime;FinishTime;ExecTime

1181;SUCCESS;50013;0;50;50
172;SUCCESS;50105;0;50;50
763;SUCCESS;50195;0;50;50
32;SUCCESS;50204;0;50;50
1158;SUCCESS;50222;0;50;50
1537;SUCCESS;50294;0;50;50
170;SUCCESS;50326;0;50;50
1200;SUCCESS;50417;0;51;50
300;SUCCESS;50384;0;51;50
938;SUCCESS;50402;0;51;50
1615;SUCCESS;50427;0;51;50
107;SUCCESS;50523;0;51;51
1240;SUCCESS;50458;0;51;51
239;SUCCESS;50526;0;51;51
1517;SUCCESS;50602;0;51;51
109;SUCCESS;50655;0;51;51
1809;SUCCESS;50598;0;51;51
11;SUCCESS;50660;0;51;51
158;SUCCESS;50647;0;51;51
369;SUCCESS;50651;0;51;51
328;SUCCESS;50679;0;51;51
725;SUCCESS;50838;0;51;51
633;SUCCESS;50775;0;51;51
514;SUCCESS;50877;0;51;51
130;SUCCESS;50897;0;51;51
132;SUCCESS;50918;0;51;51
749;SUCCESS;50893;0;51;51
22;SUCCESS;50960;0;51;51
1250;SUCCESS;50941;0;51;51
426;SUCCESS;51075;0;51;51
257;SUCCESS;51059;0;51;51
980;SUCCESS;51018;0;51;51
872;SUCCESS;51184;0;51;51
733;SUCCESS;51090;0;51;51
784;SUCCESS;51157;0;51;51
698;SUCCESS;51114;0;51;51
701;SUCCESS;51251;0;51;51
1539;SUCCESS;51292;0;51;51
510;SUCCESS;51236;0;51;51
1649;SUCCESS;51270;0;51;51
661;SUCCESS;51267;0;51;51
790;SUCCESS;51257;0;51;51
456;SUCCESS;51243;0;51;51
576;SUCCESS;51250;0;51;51
1277;SUCCESS;51211;0;51;51
113;SUCCESS;51393;0;52;51
607;SUCCESS;51309;0;52;51
407;SUCCESS;51324;0;52;51
17;SUCCESS;51400;0;52;51
947;SUCCESS;51315;0;52;51
1219;SUCCESS;51410;0;52;52
1534;SUCCESS;51576;0;52;52
745;SUCCESS;51612;0;52;52
144;SUCCESS;51533;0;52;52
1737;SUCCESS;51717;0;52;52
1314;SUCCESS;51662;0;52;52
295;SUCCESS;51650;0;52;52
409;SUCCESS;51719;0;52;52
1357;SUCCESS;51696;0;52;52
1176;SUCCESS;51660;0;52;52
495;SUCCESS;51772;0;52;52
1356;SUCCESS;51780;0;52;52
1304;SUCCESS;51903;0;52;52
518;SUCCESS;51878;0;52;52
205;SUCCESS;51945;0;52;52
309;SUCCESS;51873;0;52;52
1759;SUCCESS;51902;0;52;52
1842;SUCCESS;51909;0;52;52
82;SUCCESS;51902;0;52;52
1225;SUCCESS;51988;0;52;52
1047;SUCCESS;52045;0;52;52
164;SUCCESS;51984;0;52;52
504;SUCCESS;52093;0;52;52
1756;SUCCESS;52084;0;52;52
1566;SUCCESS;52106;0;52;52
68;SUCCESS;52324;0;53;52
150;SUCCESS;52301;0;53;52
355;SUCCESS;52380;0;53;52
869;SUCCESS;52415;0;53;53
13;SUCCESS;52476;0;53;53
1332;SUCCESS;52458;0;53;53
1230;SUCCESS;52478;0;53;53
235;SUCCESS;52407;0;53;53
1488;SUCCESS;52428;0;53;53
853;SUCCESS;52429;0;53;53
196;SUCCESS;52571;0;53;53
721;SUCCESS;52622;0;53;53
75;SUCCESS;52657;0;53;53
491;SUCCESS;52803;0;53;53
422;SUCCESS;52748;0;53;53
1482;SUCCESS;52765;0;53;53
472;SUCCESS;52837;0;53;53
922;SUCCESS;52892;0;53;53
789;SUCCESS;52841;0;53;53
165;SUCCESS;52910;0;53;53
861;SUCCESS;53092;0;53;53
1677;SUCCESS;53117;0;53;53
870;SUCCESS;53103;0;53;53
819;SUCCESS;53108;0;53;53
1822;SUCCESS;53091;0;53;53
243;SUCCESS;53034;0;53;53
368;SUCCESS;53101;0;53;53
1147;SUCCESS;53210;0;53;53
1113;SUCCESS;53261;0;53;53
1171;SUCCESS;53271;0;53;53
554;SUCCESS;53456;0;54;54
967;SUCCESS;53363;0;54;54
858;SUCCESS;53427;0;54;54
477;SUCCESS;53549;0;54;54
1442;SUCCESS;53518;0;54;54
323;SUCCESS;53532;0;54;54
1238;SUCCESS;53663;0;54;54
453;SUCCESS;53660;0;54;54
1087;SUCCESS;53774;0;54;54
556;SUCCESS;53771;0;54;54
1491;SUCCESS;53746;0;54;54
1611;SUCCESS;53682;0;54;54
54;SUCCESS;53830;0;54;54
618;SUCCESS;53859;0;54;54
272;SUCCESS;54007;0;54;54
590;SUCCESS;54007;0;54;54
59;SUCCESS;53981;0;54;54
1582;SUCCESS;53989;0;54;54
845;SUCCESS;53948;0;54;54
209;SUCCESS;54023;0;54;54
1464;SUCCESS;54087;0;54;54
290;SUCCESS;54145;0;54;54
533;SUCCESS;54166;0;54;54
319;SUCCESS;54202;0;54;54
812;SUCCESS;54119;0;54;54
1098;SUCCESS;54238;0;54;54
1343;SUCCESS;54271;0;54;54
53;SUCCESS;54346;0;55;54
1620;SUCCESS;54354;0;55;54
828;SUCCESS;54539;0;55;55
215;SUCCESS;54463;0;55;55
788;SUCCESS;54494;0;55;55
1881;SUCCESS;54530;0;55;55
1609;SUCCESS;54540;0;55;55
105;SUCCESS;54579;0;55;55
702;SUCCESS;54870;0;55;55
71;SUCCESS;54892;0;55;55
746;SUCCESS;54871;0;55;55
1699;SUCCESS;54928;0;55;55
507;SUCCESS;55073;0;55;55
20;SUCCESS;55045;0;55;55
432;SUCCESS;54995;0;55;55
1467;SUCCESS;55026;0;55;55
1489;SUCCESS;55068;0;55;55
367;SUCCESS;54983;0;55;55
700;SUCCESS;55155;0;55;55
1088;SUCCESS;55179;0;55;55
350;SUCCESS;55157;0;55;55
357;SUCCESS;55140;0;55;55
728;SUCCESS;55239;0;55;55
1474;SUCCESS;55222;0;55;55
3;SUCCESS;55438;0;56;56
593;SUCCESS;55549;0;56;56
244;SUCCESS;55560;0;56;56
250;SUCCESS;55565;0;56;56
1282;SUCCESS;55573;0;56;56
66;SUCCESS;55632;0;56;56
528;SUCCESS;55669;0;56;56
149;SUCCESS;55631;0;56;56
1393;SUCCESS;55694;0;56;56
49;SUCCESS;55734;0;56;56
1117;SUCCESS;55811;0;56;56
765;SUCCESS;55838;0;56;56
847;SUCCESS;55737;0;56;56
680;SUCCESS;55746;0;56;56
550;SUCCESS;55866;0;56;56
370;SUCCESS;55930;0;56;56
1215;SUCCESS;55973;0;56;56
515;SUCCESS;56161;0;56;56
1114;SUCCESS;56063;0;56;56
857;SUCCESS;56120;0;56;56
1397;SUCCESS;56116;0;56;56
35;SUCCESS;56205;0;56;56
1263;SUCCESS;56239;0;56;56
123;SUCCESS;56341;0;57;56
1130;SUCCESS;56359;0;57;56
246;SUCCESS;56284;0;57;56
1060;SUCCESS;56313;0;57;56
923;SUCCESS;56426;0;57;57
251;SUCCESS;56486;0;57;57
791;SUCCESS;56469;0;57;57
695;SUCCESS;56448;0;57;57
984;SUCCESS;56545;0;57;57
1903;SUCCESS;56528;0;57;57
1101;SUCCESS;56524;0;57;57
317;SUCCESS;56590;0;57;57
653;SUCCESS;56533;0;57;57
395;SUCCESS;56701;0;57;57
1831;SUCCESS;56660;0;57;57
135;SUCCESS;56629;0;57;57
760;SUCCESS;56603;0;57;57
76;SUCCESS;56633;0;57;57
902;SUCCESS;56671;0;57;57
365;SUCCESS;56646;0;57;57
1077;SUCCESS;56637;0;57;57
1053;SUCCESS;56803;0;57;57
1167;SUCCESS;56807;0;57;57
451;SUCCESS;56790;0;57;57
166;SUCCESS;56712;0;57;57
918;SUCCESS;56889;0;57;57
832;SUCCESS;56906;0;57;57
849;SUCCESS;56908;0;57;57
1078;SUCCESS;56898;0;57;57
326;SUCCESS;56977;0;57;57
538;SUCCESS;57019;0;57;57
776;SUCCESS;56941;0;57;57
801;SUCCESS;56925;0;57;57
611;SUCCESS;57098;0;57;57
415;SUCCESS;57076;0;57;57
1385;SUCCESS;57105;0;57;57
270;SUCCESS;57168;0;57;57
742;SUCCESS;57167;0;57;57
840;SUCCESS;57233;0;57;57
1852;SUCCESS;57190;0;57;57
1266;SUCCESS;57164;0;57;57
169;SUCCESS;57134;0;57;57
1841;SUCCESS;57277;0;58;57
1032;SUCCESS;57421;0;58;58
759;SUCCESS;57361;0;58;58
1656;SUCCESS;57396;0;58;58
720;SUCCESS;57453;0;58;58
121;SUCCESS;57459;0;58;58
511;SUCCESS;57522;0;58;58
1125;SUCCESS;57488;0;58;58
636;SUCCESS;57539;0;58;58
602;SUCCESS;57714;0;58;58
520;SUCCESS;57743;0;58;58
238;SUCCESS;57827;0;58;58
1071;SUCCESS;57773;0;58;58
315;SUCCESS;57970;0;58;58
546;SUCCESS;57887;0;58;58
1477;SUCCESS;57963;0;58;58
380;SUCCESS;58013;0;58;58
1588;SUCCESS;58035;0;58;58
87;SUCCESS;58018;0;58;58
46;SUCCESS;58194;0;58;58
1102;SUCCESS;58183;0;58;58
103;SUCCESS;58272;0;58;58
308;SUCCESS;58238;0;58;58
1381;SUCCESS;58290;0;58;58
1561;SUCCESS;58327;0;59;58
899;SUCCESS;58340;0;59;58
1391;SUCCESS;58394;0;59;58
5;SUCCESS;58441;0;59;59
1218;SUCCESS;58423;0;59;59
560;SUCCESS;58491;0;59;59
157;SUCCESS;58513;0;59;59
799;SUCCESS;58464;0;59;59
691;SUCCESS;58427;0;59;59
277;SUCCESS;58582;0;59;59
726;SUCCESS;58611;0;59;59
1480;SUCCESS;58576;0;59;59
1178;SUCCESS;58589;0;59;59
459;SUCCESS;58552;0;59;59
731;SUCCESS;58632;0;59;59
1162;SUCCESS;58708;0;59;59
1258;SUCCESS;58722;0;59;59
903;SUCCESS;58675;0;59;59
792;SUCCESS;58654;0;59;59
717;SUCCESS;58842;0;59;59
774;SUCCESS;58745;0;59;59
167;SUCCESS;58831;0;59;59
1426;SUCCESS;59005;0;59;59
641;SUCCESS;58960;0;59;59
226;SUCCESS;58964;0;59;59
771;SUCCESS;59039;0;59;59
263;SUCCESS;59057;0;59;59
689;SUCCESS;59042;0;59;59
596;SUCCESS;59127;0;59;59
1689;SUCCESS;59068;0;59;59
404;SUCCESS;59067;0;59;59
16;SUCCESS;59153;0;59;59
1572;SUCCESS;59167;0;59;59
1856;SUCCESS;59117;0;59;59
595;SUCCESS;59225;0;59;59
493;SUCCESS;59252;0;59;59
1319;SUCCESS;59309;0;60;59
614;SUCCESS;59302;0;60;59
210;SUCCESS;59356;0;60;59
316;SUCCESS;59286;0;60;59
1351;SUCCESS;59298;0;60;59
540;SUCCESS;59379;0;60;59
444;SUCCESS;59297;0;60;59
