Cloudlet;Status ;CloudletLen;StartTime;FinishTime;ExecTime

13;SUCCESS;504;0;1;1
5;SUCCESS;580;0;1;1
0;SUCCESS;596;0;1;1
7;SUCCESS;585;0;1;1
18;SUCCESS;565;0;1;1
27;SUCCESS;533;0;1;1
20;SUCCESS;587;0;1;1
33;SUCCESS;617;0;1;1
6;SUCCESS;671;0;1;1
25;SUCCESS;641;0;1;1
17;SUCCESS;612;0;1;1
10;SUCCESS;604;0;1;1
30;SUCCESS;647;0;1;1
21;SUCCESS;733;0;1;1
1;SUCCESS;802;0;1;1
24;SUCCESS;710;0;1;1
14;SUCCESS;740;0;1;1
16;SUCCESS;798;0;1;1
8;SUCCESS;708;0;1;1
19;SUCCESS;767;0;1;1
11;SUCCESS;739;0;1;1
28;SUCCESS;787;0;1;1
4;SUCCESS;761;0;1;1
32;SUCCESS;847;0;1;1
2;SUCCESS;866;0;1;1
34;SUCCESS;892;0;1;1
9;SUCCESS;817;0;1;1
26;SUCCESS;860;0;1;1
12;SUCCESS;887;0;1;1
31;SUCCESS;869;0;1;1
22;SUCCESS;917;0;1;1
23;SUCCESS;975;0;1;1
15;SUCCESS;977;0;1;1
3;SUCCESS;941;0;1;1
29;SUCCESS;991;0;1;1
